"strain","resistance","UMAP1","UMAP2","UMAP3","UMAP4","UMAP5","UMAP6","UMAP7","UMAP8"
"DA63300","nonHR",10.2921571731567,-2.40300917625427,0.771145641803741,0.156579777598381,-0.535902321338654,-0.375012189149857,-1.31343913078308,-1.53222346305847
"DA63302","nonHR",-17.0777168273926,-2.29093670845032,-2.24568629264832,1.31929016113281,3.8404598236084,-1.3713743686676,-0.493265092372894,2.71444964408875
"DA63304","nonHR",10.3880081176758,-2.64029359817505,1.04439806938171,-0.0130550740286708,-0.607803106307983,0.301474303007126,-1.2355443239212,-1.44638073444366
"DA63306","nonHR",6.37297344207764,-0.762738347053528,0.0513970553874969,-0.353273034095764,-1.54644870758057,-0.403941839933395,0.358826249837875,-0.104666844010353
"DA63310","nonHR",-16.6430225372314,-2.09265804290771,-2.05313324928284,1.15911340713501,4.11100959777832,-1.02930545806885,-0.103347435593605,1.84070992469788
"DA63312","nonHR",10.4365549087524,-2.10805535316467,0.861485779285431,0.598152935504913,-1.35694575309753,0.0274795051664114,-1.87388002872467,-0.816238582134247
"DA63314","nonHR",10.656023979187,-2.79203653335571,1.33741283416748,0.484493672847748,-0.807181060314178,0.334595084190369,-2.19863867759705,-1.22831773757935
"DA63316","nonHR",10.7475605010986,-2.48897647857666,1.32565677165985,0.392788589000702,-1.07337522506714,0.241162046790123,-1.99013793468475,-0.996661007404327
"DA63318","nonHR",10.8075485229492,-1.22243773937225,0.402983158826828,0.242316484451294,-2.84677290916443,-0.00179282750468701,-1.06842887401581,0.437829196453094
"DA63320","nonHR",-16.2350387573242,-2.41116571426392,-1.11687386035919,1.703693151474,4.70254230499268,-0.743770599365234,0.524225056171417,1.69471895694733
"DA63322","HR",-10.9476919174194,1.05677390098572,-3.41637277603149,-3.17629456520081,2.44310808181763,-1.01978981494904,-0.386916369199753,2.76711392402649
"DA63324","nonHR",10.6436262130737,-1.12682342529297,0.407821238040924,0.483279705047607,-2.30824303627014,0.413490891456604,-1.61037003993988,-0.189819440245628
"DA63326","nonHR",-16.4119281768799,-2.33363652229309,-1.51710712909698,2.01268458366394,4.81312608718872,-1.13897275924683,0.268839776515961,1.5612884759903
"DA63328","nonHR",-10.8562574386597,1.05040299892426,-3.31670832633972,-2.88168239593506,2.72712922096252,-0.731405377388,-0.0622305683791637,2.94322514533997
"DA63330","HR",-10.6644992828369,1.34945750236511,-3.11600232124329,-3.05516219139099,2.84508609771729,-0.671521127223969,-0.173892393708229,2.89930391311646
"DA63332","nonHR",-16.1346225738525,-2.43743896484375,-1.33202934265137,1.91138660907745,4.87272644042969,-0.956650793552399,0.322471797466278,1.27439093589783
"DA63334","HR",-11.0103807449341,0.588299572467804,-2.88561987876892,-2.32467293739319,2.42093920707703,-0.688904225826263,-0.113587535917759,2.94543242454529
"DA63336","nonHR",6.46198177337646,-0.538877248764038,0.0411245785653591,-0.47870197892189,-1.45017409324646,-1.09501659870148,-0.0365502275526524,-0.507048547267914
"DA63338","nonHR",10.1419515609741,-2.06186008453369,0.649309575557709,-0.184455782175064,-1.57225656509399,-0.0401450768113136,-0.538405001163483,-0.471186250448227
"DA63340","nonHR",10.0257616043091,-1.97099268436432,0.489079684019089,0.100057542324066,-0.997320652008057,-0.0886932164430618,-1.06545317173004,-1.22736513614655
"DA63342","HR",-17.1638298034668,-2.50588250160217,-1.75706398487091,1.18044984340668,3.81780695915222,-0.869470298290253,-0.068535216152668,3.01509213447571
"DA63344","nonHR",-17.0264015197754,-2.36547470092773,-2.17446565628052,1.25345289707184,3.53634023666382,-1.12295866012573,0.0890888348221779,2.28604388237
"DA63346","HR",-10.7656898498535,0.710507035255432,-3.09582424163818,-3.10782861709595,2.56087327003479,-0.724521636962891,-0.164118558168411,3.18402504920959
"DA63348","nonHR",10.9983720779419,-1.25442349910736,0.41407173871994,0.38343819975853,-2.51557469367981,0.443351566791534,-1.81195187568665,0.0861004590988159
"DA63350","HR",-0.560151159763336,6.83236408233643,2.65111184120178,0.00960664823651314,-2.46047329902649,1.04781377315521,3.23527860641479,-2.4126558303833
"DA63352","nonHR",6.40514039993286,-0.638053297996521,0.00417212676256895,-0.574528157711029,-1.53952324390411,-0.722571432590485,0.263582199811935,-0.126833066344261
"DA63354","nonHR",5.92386388778687,-0.673290908336639,-0.0230230558663607,-0.169185236096382,-1.09269452095032,-0.566529154777527,0.0483885146677494,-0.307258099317551
"DA63356","nonHR",10.1148433685303,-1.56812167167664,0.48253533244133,0.0299214757978916,-2.13449239730835,0.0692970901727676,-0.644944906234741,-0.104220129549503
"DA63358","nonHR",11.2061624526978,-1.0678334236145,0.514540791511536,0.245400920510292,-2.62902665138245,0.529635429382324,-1.76744532585144,-0.0867153778672218
"DA63360","HR",-0.571025967597961,7.00572061538696,2.41788411140442,-0.00467917136847973,-2.78525710105896,1.16721987724304,3.63436603546143,-2.38820242881775
"DA63362","HR",6.81501960754395,-0.500951528549194,0.0220565032213926,-0.411925345659256,-1.84061682224274,-0.773741662502289,0.190921798348427,-0.00241758348420262
"DA63364","nonHR",-16.8541450500488,-2.13501238822937,-1.52424800395966,2.1244785785675,4.48052978515625,-1.04655206203461,0.321296572685242,2.21187806129456
"DA63366","HR",-0.0401720441877842,7.09619379043579,2.78633165359497,-0.295704334974289,-3.05835342407227,1.39935994148254,3.49921464920044,-2.73508858680725
"DA63368","nonHR",6.32576894760132,-0.99050372838974,-0.210563108325005,-0.0178475510329008,-1.3325560092926,-0.535708844661713,0.176496654748917,0.0586166977882385
"DA63370","nonHR",-10.8669462203979,1.25415003299713,-2.94056558609009,-3.30145072937012,3.02017831802368,-0.384810358285904,-0.220029607415199,2.69215774536133
"DA63372","nonHR",-10.9509811401367,0.855127453804016,-3.23357081413269,-3.35160207748413,2.72929620742798,-0.79705411195755,-0.356021851301193,3.12872576713562
